channel number	channel	description	measure	window-based	clipped	split	read orientation	mate orientation	recorded position
67	common_clipped_right_rev	right clipped reads	count	read in one window and mate in the other	Y	N	reverse	forward	clipped base
68	common_clipped_both_sides_fwd	reads clipped on both sides	count	read in one window and mate in the other	Y	N	forward	reverse	clipped base
69	common_clipped_both_sides_rev	reads clipped on both sides	count	read in one window and mate in the other	Y	N	reverse	forward	clipped base
70	common_not_clipped_fwd	all reads	count	read in one window and mate in the other	NA	NA	forward	reverse	all bases covered by read in the window
71	common_not_clipped_rev	all reads	count	read in one window and mate in the other	NA	NA	reverse	forward	all bases covered by read in the window
72	common_discordant_fwd	clipped discordant reads: with pair distance greater than one standard deviation	count	read in one window and mate in the other	Y	N	forward	reverse	clipped base
73	common_discordant_rev	clipped discordant reads: with pair distance greater than one standard deviation	count	read in one window and mate in the other	Y	N	reverse	forward	clipped base
74	common_duplication_mate_after	the reverse mate/split part is mapped before the forward right clipped read/split read	count	read in one window and mate in the other	Y	NA	forward	reverse	clipped base
75	common_duplication_mate_before	the forward mate/split part is mapped after the reverse left clipped read/split read	count	read in one window and mate in the other	Y	NA	reverse	forward	clipped base
76	common_inversion_mate_after	clipped reads in a pair/split read with same orientation for which the read is mapped before the mate/split part	count	read in one window and mate in the other	Y	NA	same as mate	same as read	clipped base
77	common_inversion_mate_before	clipped reads in a pair/split read with same orientation for which the read is mapped after the mate/split part	count	read in one window and mate in the other	Y	NA	same as mate	same as read	clipped base
78	common_translocation_opposite	clipped reads in a pair/split reads are mapped on different chromosomes with opposite orientation	count	read in one window and mate in the other	Y	NA	opposite of mate	opposite of read	clipped base
79	common_translocation_same	clipped reads in a pair/split reads are mapped on different chromosomes with same orientation	count	read in one window and mate in the other	Y	NA	same as mate	same as read	clipped base
